原文(有{0}),翻譯
"Affected Minions have {0}% reduced Cast Speed","被影響的召喚物減少 {0}% 施放速度"
"Affected Minions have {0}% reduced Movement Speed","被影響的召喚物減少 {0}% 移動速度"
"Aftershock deals {0} less Damage with Hits and Ailments","【餘震】造成的擊中和異常狀態更少 {0}"
"Aftershock deals {0} more Damage with Hits and Ailments","【餘震】造成的擊中和異常狀態總傷害更多 {0}"
"Aftershock deals {0} to {1} Added Attack Physical Damage","餘震附加 {0} 至 {1} 攻擊物理傷害"
"Aftershock deals {0}% less Damage with Hits and Ailments","餘震造成 {0}% 更少擊中和異常狀態傷害"
"Aftershock deals {0}% more Damage with Hits and Ailments","餘震造成 {0}% 更多擊中和異常狀態傷害"
"Agony Crawler deals {0} increased Damage","【苦痛爬行者】的傷害增加 {0}"
"Agony Crawler deals {0} increased Physical Damage per Virulence you have","每有一層【毒力】，【苦痛爬行者】的物理傷害便增加 {0}"
"Agony Crawler deals {0} reduced Damage","【苦痛爬行者】的傷害減少 {0}"
"Agony Crawler deals {0} reduced Physical Damage per Virulence you have","每有一層【毒力】，【苦痛爬行者】的物理傷害便減少 {0}"
"Agony Crawler deals {0}% increased Damage","苦痛毒蛛蠍增加 {0}% 傷害"
"Agony Crawler deals {0}% increased Physical Damage per Virulence you have","你身上的每層毒性，增加 {0}% 苦痛毒蛛蠍的物理傷害"
"Agony Crawler deals {0}% reduced Damage","苦痛毒蛛蠍減少 {0}% 傷害"
"Agony Crawler deals {0}% reduced Physical Damage per Virulence you have","你身上的每層毒性，減少 {0}% 苦痛毒蛛蠍的物理傷害"
"Agony Crawler has {0} chance to inflict Withered for {1} seconds on Hit","苦痛爬行者擊中時有 {0} 的機率施加 {1} 秒枯萎"
"Agony Crawler has {0} increased Attack Speed per Virulence you have","每有一層【毒力】，【苦痛爬行者】的攻擊速度便增加 {0}"
"Agony Crawler has {0} reduced Attack Speed per Virulence you have","每有一層【毒力】，【苦痛爬行者】的攻擊速度便減少 {0}"
"Agony Crawler has {0} to {1} Added Physical Damage per Virulence you have","你身上每層毒性使苦痛潛伏者附加 {0} 至 {1} 物理傷害"
"Agony Crawler has {0}% chance to inflict Withered for {1} seconds on Hit","苦痛毒蛛蠍擊中時有 {0}% 機率造成凋零 {1} 秒"
"Agony Crawler has {0}% increased Attack Speed per Virulence you have","你身上每層毒性增加苦痛毒蛛蠍 {0}% 攻擊速度"
"Agony Crawler has {0}% reduced Attack Speed per Virulence you have","你身上每層毒性減少苦痛毒蛛蠍 {0}% 攻擊速度"
"Agony Crawler inflicts Withered for {0} seconds on Hit","苦痛毒蛛蠍擊中時造成凋零 {0} 秒"
"Ailment Modifiers have {0} increased Effect","異常狀態詞綴的效果增加 {0}"
"Ailment Modifiers have {0} reduced Effect","異常狀態詞綴的效果減少 {0}"
"Ailment Modifiers have {0}% increased Effect","異常狀態詞綴增加 {0}% 效果"
"Ailment Modifiers have {0}% reduced Effect","異常狀態詞綴減少 {0}% 效果"
"Ailments inflicted on Cursed Enemies deal Damage {0} Faster","對被詛咒的敵人施加的異常狀態傷害生效速度加快 {0}"
"Ailments inflicted on Cursed Enemies deal Damage {0}% Faster","異常狀態在被詛咒敵人身上比平常快 {0}% 造成傷害"
"Alert Level increases by {0}% per second","增加 {0}%警戒等級每秒"
"Alert Level reduces by {0}% per second","減少 {0}%警戒等級每秒"
"All Towers in range of your Empowering Towers have {0} chance to deal Double Damage","你的賦能之塔範圍內所有防禦塔有 {0} 的機率造成雙倍傷害"
"All Towers in range of your Empowering Towers have {0}% chance to deal Double Damage","在你賦予塔範圍內的所有防守塔，有 {0}% 機率造成 2 倍傷害"
"Allocates {0}","配置 {0}"
"Also fires Projectiles from up to {0} point on each side of you","同時從你兩側最多 {0} 個點發射投射物"
"Also fires Projectiles from up to {0} points on each side of you","同時從你兩側最多 {0} 個點發射投射物"
"also grant Chance to Block Attack Damage at {0} of its value","也會以 {0} 的比例增加攻擊傷害格擋機率"
"also grant Chance to Block Attack Damage at {0}% of its value","也會賦予其數值 {0}% 的攻擊傷害格擋率"
"also grant Chance to Block Spell Damage at {0} of its value","也會以 {0} 的比例增加法術傷害格擋機率"
"also grant Chance to Block Spell Damage at {0}% of its value","同時提供等同其數值 {0}% 的法術傷害格擋率"
"also grant Chance to Dodge Attack Hits at {0}% of its value","同時獲得等同 {0}% 其數值的躲避攻擊機率"
"also grant Chance to Suppress Spell Damage at {0}% of its value","同時以 {0}% 它們的值給予壓抑法術傷害率"
"Ancestor Totems have {0} increased Activation range","先祖圖騰使啟動射程增加 {0}"
"Ancestor Totems have {0} reduced Activation range","先祖圖騰使啟動射程減少 {0}"
"Ancestor Totems have {0}% increased Activation range","先祖圖騰增加 {0}% 啟動距離"
"Ancestor Totems have {0}% reduced Activation range","先祖圖騰減少 {0}% 啟動距離"
"Ancestral Blademaster Totem grants {0} of Physical Damage as Extra Fire Damage while Active","先祖大劍師圖騰生效時，給予你等同 {0} 物理傷害的額外火焰傷害"
"Ancestral Blademaster Totem grants {0}% of Physical Damage as Extra Fire Damage while Active","先祖大劍師圖騰作用時給予你等同 {0}% 物理傷害的額外火焰傷害"
"Ancestral Cry has a minimum of {0} Power","先祖戰吼有最小 {0} 強度"
"Ancestral Protector Totem deals {0} increased Damage","先祖衛士圖騰造成的傷害增加 {0}"
"Ancestral Protector Totem deals {0} reduced Damage","先祖衛士圖騰造成的傷害減少 {0}"
"Ancestral Protector Totem deals {0}% increased Damage","增加 {0}%先祖衛士圖騰造成的傷害"
"Ancestral Protector Totem deals {0}% reduced Damage","減少 {0}%先祖衛士圖騰造成的傷害"
"Ancestral Protector Totem grants {0} increased Attack Speed while Active","當先祖衛士圖騰存在時，攻擊速度增加 {0}"
"Ancestral Protector Totem grants {0} reduced Attack Speed while Active","當先祖衛士圖騰存在時，攻擊速度減少 {0}"
"Ancestral Protector Totem grants {0}% increased Attack Speed while Active","在先祖衛士圖騰啟動期間，增加 {0}%賦予攻擊速度"
"Ancestral Protector Totem grants {0}% reduced Attack Speed while Active","在先祖衛士圖騰啟動期間，減少 {0}%賦予攻擊速度"
"Ancestral Protector Totems gain {0} to all Elemental Resistances","【先祖衛士圖騰】獲得 {0} 元素抗性"
"Ancestral Protector Totems gain {0}% to all Elemental Resistances","先祖衛士圖騰獲得 {0}% 全部元素抗性"
"Ancestral Warchief Totem grants {0} increased Melee Damage while Active","先祖戰士長圖騰生效時，你的近戰傷害增加 {0}"
"Ancestral Warchief Totem grants {0} reduced Melee Damage while Active","先祖戰士長圖騰生效時，你的近戰傷害減少 {0}"
"Ancestral Warchief Totem grants {0}% increased Melee Damage while Active","在先祖戰士長圖騰啟動期間，增加 {0}%賦予近戰傷害"
"Ancestral Warchief Totem grants {0}% reduced Melee Damage while Active","在先祖戰士長圖騰啟動期間，減少 {0}%賦予近戰傷害"
"Ancestrally Boosted Slams deal {0} less Damage with Ailments","先祖加持的猛擊異常狀態的總傷害更少 {0}"
"Ancestrally Boosted Slams deal {0} less Damage with Hits","先祖加持的猛擊擊中的總傷害更少 {0}"
"Ancestrally Boosted Slams deal {0} more Damage with Ailments","先祖加持的猛擊異常狀態的總傷害更多 {0}"
"Ancestrally Boosted Slams deal {0} more Damage with Hits","先祖加持的猛擊擊中的總傷害更多 {0}"
"Ancestrally Boosted Slams deal {0}% less Damage with Ailments","先祖加持的重擊造成 {0}% 更少異常狀態傷害"
"Ancestrally Boosted Slams deal {0}% less Damage with Hits","先祖加持的重擊造成 {0}% 更少擊中傷害"
"Ancestrally Boosted Slams deal {0}% more Damage with Ailments","先祖加持的重擊造成 {0}% 更多異常狀態傷害"
"Ancestrally Boosted Slams deal {0}% more Damage with Hits","先祖加持的重擊造成 {0}% 更多擊中傷害"
"Ancestrally Boosted Slams have {0} increased Area of Effect","先祖加持的猛擊效果區域擴大 {0}"
"Ancestrally Boosted Slams have {0} increased Enemy Stun Threshold","先祖加持的猛擊使敵人暈眩門檻增加  {0}"
"Ancestrally Boosted Slams have {0} reduced Area of Effect","先祖加持的猛擊效果區域縮小 {0}"
"Ancestrally Boosted Slams have {0} reduced Enemy Stun Threshold","先祖加持的猛擊使敵人暈眩門檻減少 {0}"
"Ancestrally Boosted Slams have {0}% increased Area of Effect","先祖加持的重擊增加 {0}% 範圍效果"
"Ancestrally Boosted Slams have {0}% increased Enemy Stun Threshold","先祖加持的重擊增加 {0}% 敵人暈眩門檻"
"Ancestrally Boosted Slams have {0}% reduced Area of Effect","先祖加持的重擊減少 {0}% 範圍效果"
"Ancestrally Boosted Slams have {0}% reduced Enemy Stun Threshold","先祖加持的重擊減少 {0}% 敵人暈眩門檻"
"and nearby Allies have {0}% Chance to Block Attack Damage","和附近友方 {0}% 攻擊傷害格擋率"
"and nearby Allies have {0}% Chance to Block Spell Damage","附近友方 {0}% 法術傷害格擋率"
"and nearby Allies Regenerate {0} Life per second","擊殺中毒的敵人時，附近友方每秒回復 {0} 生命"
"Anger has {0} increased Aura Effect","憤怒光環的效果增加 {0}"
"Anger has {0} increased Mana Reservation","【憤怒】的魔力保留增加 {0}"
"Anger has {0} reduced Aura Effect","憤怒光環的效果減少 {0}"
"Anger has {0} reduced Mana Reservation","【憤怒】的魔力保留減少 {0}"
"Anger has {0}% increased Aura Effect","憤怒增加 {0}% 光環效果"
"Anger has {0}% increased Mana Reservation","憤怒增加 {0}% 魔力保留"
"Anger has {0}% increased Mana Reservation Efficiency","憤怒增加 {0}% 魔力保留效用"
"Anger has {0}% increased Reservation","憤怒增加 {0}% 保留"
"Anger has {0}% reduced Aura Effect","憤怒減少 {0}% 光環效果"
"Anger has {0}% reduced Mana Reservation","憤怒減少 {0}% 魔力保留"
"Anger has {0}% reduced Mana Reservation Efficiency","憤怒減少 {0}% 魔力保留效用"
"Anger has {0}% reduced Reservation","憤怒減少 {0}% 保留"
"Animate Weapon can Animate up to {0} ranged weapons","幻化武器可以幻化最多 {0} 把遠程武器"
"Animate Weapon can Animate up to {0} Ranged Weapons","幻化武器可以幻化最多 {0} 把遠程武器"
"Animate Weapon will Animate Bows and Wands with {0} Dexterity from Passives in Radius","範圍內有來自已分配天賦的 {0} 點敏捷時，幻化武器會幻化弓和法杖"
"Animated Guardian deals {0} increased Damage per Animated Weapon","每把幻化武器可使幻化守衛的傷害增加 {0}"
"Animated Guardian deals {0} reduced Damage per Animated Weapon","每把幻化武器可使幻化守衛的傷害減少 {0}"
"Animated Guardian deals {0}% increased Damage per Animated Weapon","每個幻化武器增加 {0}% 幻化守衛造成傷害"
"Animated Guardian deals {0}% reduced Damage per Animated Weapon","每個幻化武器減少 {0}% 幻化守衛造成傷害"
"Animated Guardian takes {0}% less Damage","幻化守衛承受 {0}% 更少傷害"
"Animated Guardian takes {0}% more Damage","幻化守衛承受 {0}% 更多傷害"
"Animated Guardians deal {0} increased Damage","【幻化守衛】造成的傷害增加 {0}"
"Animated Guardians deal {0} reduced Damage","【幻化守衛】造成的傷害減少 {0}"
"Animated Guardians deal {0}% increased Damage","增加 {0}% 幻化守衛造成的傷害"
"Animated Guardians deal {0}% reduced Damage","減少 {0}% 幻化守衛造成的傷害"
"Animated Lingering Blades deal {0} to {1} Added Attack Physical Damage","幻化的剩餘劍刃附加 {0} 至 {1} 攻擊物理傷害"
"Animated Minions' Melee Attacks deal {0} less Damage to surrounding targets","幻化類召喚生物的近戰攻擊對週圍目標造成的總傷害更少 {0}"
"Animated Minions' Melee Attacks deal {0} more Damage to surrounding targets","幻化類召喚生物的近戰攻擊對週圍目標造成的總傷害更多 {0}"
"Animated Minions' Melee Attacks deal {0}% less Damage to surrounding targets","幻化召喚物的近戰攻擊對周圍的目標造成 {0}% 更少傷害"
"Animated Minions' Melee Attacks deal {0}% more Damage to surrounding targets","幻化召喚物的近戰攻擊對周圍的目標造成 {0}% 更多傷害"
"Animated Weapons deal {0} increased Damage","【幻化武器】的傷害增加 {0}"
"Animated Weapons deal {0} reduced Damage","【幻化武器】的傷害減少 {0}"
"Animated Weapons deal {0}% increased Damage","增加 {0}% 幻化武器的傷害"
"Animated Weapons deal {0}% reduced Damage","減少 {0}% 幻化武器的傷害"
"Applied Curses have {0} increased Effect","施加的詛咒效果增加 {0}"
"Applied Curses have {0} reduced Effect","施加的詛咒效果減少 {0}"
"Applied Curses have {0}% increased Effect","施放的詛咒增加 {0}% 效果"
"Applied Curses have {0}% reduced Effect","施放的詛咒減少 {0}% 效果"
"Applies {0} Memory Modifiers to Memories placed on or next to this location","套用 {0} 個記憶詞綴至放置於此或旁邊位置的記憶"
"Applies beams to the closest {0} Enemies","光束套用至最靠近的 {0} 個敵人"
"Applies beams to the closest {0} nearby Bleeding Enemies","對最靠近的 {0} 的流血敵人發射射線"
"Approximate evade chance: {0}%","閃避機率: {0}%"
"Approximate hit chance: {0}%","命中機率: {0}%"
"Arc Chains an additional {0} times","增加電弧額外 {0} 次連鎖"
"Arc deals {0} increased Damage for each time it has Chained","【電弧】每連鎖彈射 1 次，傷害便增加 {0}"
"Arc deals {0}% increased Damage for each time it has Chained","每次電弧連鎖時增加 {0}% 傷害"
"Arc has {0} chance to Shock","【電弧】有 {0} 的機率感電"
"Arc has {0}% chance to Shock","電弧有 {0}% 機率感電"
"Arcane Cloak grants Life Regeneration equal to {0} of Mana Spent per Second","【奧術鬥篷】獲得生命回復，等於每秒消耗魔力的 {0}"
"Arcane Cloak grants Life Regeneration equal to {0}% of Mana Spent per Second","祕能披風獲得等同 {0}% 魔力消耗的每秒生命回復"
"Arcane Cloak Spends an additional {0} of current Mana","【奧術鬥篷】額外消耗 {0} 當前魔力"
"Arcane Cloak Spends an additional {0}% of current Mana","祕能披風消耗額外 {0}% 現有魔力"
"Arcane Surge grants {0} increased Cast Speed","秘術增強使施放速度加快 {0}"
"Arcane Surge grants {0} more Spell Damage","秘術增強使總法術傷害增加 {0}"
"Arcane Surge grants {0} of Mana Regenerated per second","秘術增強每秒提供 {0} 魔力再生"
"Arcane Surge grants {0}% increased Cast Speed","秘能波動增加 {0}% 施放速度"
"Arcane Surge grants {0}% increased Mana Regeneration rate","秘能波動增加 {0}% 魔力回復率"
"Arcane Surge grants {0}% more Spell Damage","秘能波動有 {0}% 更多法術傷害"
"Arcane Surge grants {0}% of Mana Regenerated per second","秘能波動每秒回復 {0}% 魔力"
"Arcane Surge lasts {0} second","秘能波動持續 {0} 秒"
"Arcane Surge lasts {0} seconds","秘能波動持續 {0} 秒"
"Arcanist Brand has {0} increased Cast Speed","【奧法烙印】的施放速度加快 {0}"
"Arcanist Brand has {0} reduced Cast Speed","【奧法烙印】的施放速度減慢 {0}"
"Arcanist Brand has {0}% increased Cast Speed","奧術烙印增加 {0}% 施放速度"
"Arcanist Brand has {0}% reduced Cast Speed","奧術烙印增加 {0}% 施放速度"
"Arctic Armour has {0} increased Mana Reservation","【極地裝甲】的魔力保留增加 {0}"
"Arctic Armour has {0} reduced Mana Reservation","【極地裝甲】的魔力保留減少 {0}"
"Arctic Armour has {0}% increased Mana Reservation","極地裝甲增加 {0}% 魔力保留"
"Arctic Armour has {0}% increased Mana Reservation Efficiency","極地裝甲增加 {0}% 魔力保留效用"
"Arctic Armour has {0}% increased Reservation","極地裝甲增加 {0}% 保留"
"Arctic Armour has {0}% reduced Mana Reservation","極地裝甲減少 {0}% 魔力保留"
"Arctic Armour has {0}% reduced Mana Reservation Efficiency","極地裝甲減少 {0}% 魔力保留效用"
"Arctic Armour has {0}% reduced Reservation","極地裝甲減少 {0}% 保留"
"Arctic Breath's Chilling Area has {0}% increased Movement Speed","極地吐息的冰緩區域可使移動速度增加 {0}%"
"Arctic Breath's Chilling Area has {0}% reduced Movement Speed","極地吐息的冰緩區域可使移動速度減少 {0}%"
"Area contains {0} additional Abyss Bone Chest Clusters","區域含 {0} 個額外深淵骨箱堆"
"Area contains {0} additional Abysses",區域內含有額外{0}道深淵
"Area contains {0} additional Animated Weapon Packs","區域含有 {0}% 個額外幻化武器怪物群"
"Area contains {0} additional Blight Encounters","區域包含 {0} 個額外凋落事件"
"Area contains {0} additional Bloodworm Chest Clusters","區域含有 {0} 個額外血蟲箱堆"
"Area contains {0} additional Breaches","區域包含額外 {0} 個裂痕"
"Area contains {0} additional Chest Marker","區域含有 {0} 個額外保險箱標記"
"Area contains {0} additional Chest Markers","區域含有 {0} 個額外保險箱標記"
"Area contains {0} additional Chests Markers","區域含有 {0} 個額外保險箱標記"
"Area contains {0} additional Clusters of Mysterious Barrels","區域含有額外 {0} 組神秘木桶"
"Area contains {0} additional Essences","區域含有 {0} 個額外精髓"
"Area contains {0} additional Explosive Chest Clusters","區域含有 {0} 個額外爆炸箱堆"
"Area contains {0} additional Fungal Chest Clusters","區域含有 {0} 個額外真菌箱堆"
"Area contains {0} additional Gloom Shrines","區域含有 {0} 個額外漆黑神殿"
"Area contains {0} additional Harbingers","此區域含 {0} 個額外神諭"
"Area contains {0} additional Leaguestones","區域含有額外 {0} 個聯盟石"
"Area contains {0} additional Legion Encounters","區域內含 {0} 個額外戰亂事件"
"Area contains {0} additional Magic Monster packs","區域含有 {0} 個額外魔法怪物群"
"Area contains {0} additional Magic Packs which","區域含有 {0} 群魔法怪物，"
"Area contains {0} additional Monster possessed by an Ancient Talisman","此區域有 {0} 個額外被魔符附身的怪物"
"Area contains {0} additional Monsters possessed by Ancient Talismans","區域含有額外 {0} 個被遠古魔符附身的怪物"
"Area contains {0} additional pack of Corrupted Vaal Monsters","區域含有額外 {0} 群已汙染瓦爾怪物"
"Area contains {0} additional packs of Corrupted Vaal Monsters","區域含有額外 {0} 群已汙染瓦爾怪物"
"Area contains {0} additional packs of Elder Fiends","區域內含 {0} 個額外異界尊師惡魔群"
"Area contains {0} additional packs of Monsters that Convert when Killed","區域含有額外 {0} 群被擊殺時會轉化的怪物"
"Area contains {0} additional packs of Monsters that deal Chaos Damage","區域含有額外 {0} 群會造成混沌傷害的怪物"
"Area contains {0} additional packs of Monsters that deal Cold Damage","區域含有額外 {0} 群會造成冰冷傷害的怪物"
"Area contains {0} additional packs of Monsters that deal Fire Damage","區域含有額外 {0} 群會造成火焰傷害的怪物"
"Area contains {0} additional packs of Monsters that deal Lightning Damage","區域含有額外 {0} 群會造成閃電傷害的怪物"
"Area contains {0} additional packs of Monsters that deal Physical Damage","區域含有額外 {0} 群會造成物理傷害的怪物"
"Area contains {0} additional packs of Monsters that Heal","區域含有額外 {0} 群會治癒的怪物"
"Area contains {0} additional packs of Poisonous Monsters","區域含有額外 {0} 群中毒的怪物"
"Area contains {0} additional packs of Shaper Creations","區域內含 {0} 個額外塑界者創造物"
"Area contains {0} additional packs with a Rare monster","區域含有 {0} 個額外有 1 隻稀有怪物的怪物群"
"Area contains {0} additional Packs with Mirrored Rare Monsters","區域含有額外 {0} 群複製的稀有怪物"
"Area contains {0} additional Parasitic Chest Clusters","區域含有 {0} 個額外寄生箱堆"
"Area contains {0} additional Perandus Chests","區域包含額外 {0} 個普蘭德斯保險箱"
"Area contains {0} additional Red Beast","區域內含 {0} 隻額外紅色野獸"
"Area contains {0} additional Red Beasts","區域內含 {0} 隻額外紅色野獸"
"Area contains {0} additional Resonating Shrines","區域含有 {0} 個額外共振神殿"
"Area contains {0} additional Scourge Bosses","區域含有 {0} 個額外災魘頭目"
"Area contains {0} additional Shrines","區域含有 {0} 個額外神殿"
"Area contains {0} additional Smuggler's Caches","區域含有 {0} 個額外走私者的祕寶"
"Area contains {0} additional Strongboxes","區域含有 {0} 個額外保險箱"
"Area contains {0} additional Synthesised Chest which contains Magic Monsters","區域含有 {0} 個包含魔法怪物的額外追憶之匣"
"Area contains {0} additional Synthesised Chest which contains Normal Monsters","區域含有 {0} 個包含普通怪物的額外追憶之匣"
"Area contains {0} additional Synthesised Chest which contains Rare Monsters","區域含有 {0} 個包含稀有怪物的額外追憶之匣"
"Area contains {0} additional Synthesised Chests which contain Magic Monsters","區域含有 {0} 個包含魔法怪物的額外追憶之匣"
"Area contains {0} additional Synthesised Chests which contain Normal Monsters","區域含有 {0} 個包含普通怪物的額外追憶之匣"
"Area contains {0} additional Synthesised Chests which contain Rare Monsters","區域含有 {0} 個包含稀有怪物的額外追憶之匣"
"Area contains {0} additional Tormented Betrayers","區域含有 {0} 個額外苦痛反叛者"
"Area contains {0} additional Tormented Graverobbers","區域含有 {0} 個額外苦痛盜墓者"
"Area contains {0} additional Tormented Heretics","區域含有 {0} 個額外苦痛異教徒"
"Area contains {0} additional Underground Areas","區域含有 {0} 個額外地下區域"
"Area contains {0} additional Wealthy Barrel Clusters","區域含有 {0} 個額外富寶罐堆"
"Area contains {0} Bearers of the Guardian Bloodline Packs","區域包含 {0} 個衛者之責血族群"
"Area contains {0} Breaches","區域含有 {0} 個裂痕"
"Area contains {0} extra Gloom Shrines","區域含有 {0} 個額外漆黑神殿"
"Area contains {0} extra Harbingers","此區域含 {0} 個額外神諭"
"Area contains {0} extra Packs of Insects","區域含有 {0} 額外蟲群"
"Area contains {0} extra Resonating Shrines","區域含有 {0} 個額外共振神殿"
"Area contains {0} extra Shrines","地圖裡有 {0} 個額外的神殿"
"Area contains {0} extra Strongboxes","地圖裡有 {0} 個額外的保險箱"
"Area contains {0} Invasion Bosses","區域含有 {0} 個侵略頭目"
"Area contains {0} Monsters possessed by Ancient Talismans","區域含有 {0} 個受魔符附身的怪物"
"Area contains {0} Perandus Chests","此區域含有 {0} 個普蘭德斯保險箱"
"Area contains {0} Rare Monsters with Inner Treasure","區域含有額外 {0} 個珍寶之魂稀有怪物"
"Area contains {0} Rogue Exiles","區域含有 {0} 位盜賊流亡者"
"Area contains {0} Silver Coins","區域含有 {0} 枚銀幣"
"Area contains {0} Strongboxes","區域含有 {0} 個保險箱"
"Area contains {0} Tormented Spirits","區域含有 {0} 個罪魂"
"Area contains {0} Voidspawn of Abaxoth Bloodline Packs","區域包含 {0} 個阿巴薩斯之子血族群"
"Area contains {0}% increased number of Monster Markers","區域增加 {0}% 怪物標記的數量"
"Area contains {0}% increased number of Remnants","區域增加 {0}% 遺跡數量"
"Area contains {0}% increased number of Runic Monster Markers","區域增加 {0}% 符文怪物印記的數量"
"Area contains {0}% reduced number of Monster Markers","區域減少 {0}% 怪物標記的數量"
"Area contains {0}% reduced number of Runic Monster Markers","區域減少 {0}% 符文怪物印記的數量"
"Area contains a Rare Monster carrying a Tier {0} Talisman","區域含有一個受 {0} 階魔符附身的稀有怪物"
"Area contains a Unique Monster carrying a Tier {0} Talisman","區域含有一個受 {0} 階魔符附身的傳奇怪物"
"Area contains at least {0} Warband Pack","區域含有至少 {0} 個軍團"
"Area contains at least {0} Warband Packs","區域含有至少 {0} 個軍團"
"Area contains up to {0} Monster imprisoned by Essences","區域含有 {0} 個受精髓禁錮的怪物"
"Area contains up to {0} Monsters imprisoned by Essences","區域含有 {0} 個受精髓禁錮的怪物"
"Area contains up to {0} Shrine","區域含有 {0} 座神殿"
"Area contains up to {0} Shrines","區域含有 {0} 座神殿"
"Area has {0} chance to contain Gifts of the Red Queen per Mortal Fragment used","每使用 1 個凡人碎片就能讓該區域出現紅女王之禮的機率增加 {0}"
"Area has {0} chance to contain Gifts of the Sacrificed per Sacrifice Fragment used","每使用 1 個獻祭碎片就能讓該區域出現獻祭之禮的機率增加 {0}"
"Area has {0} Monsters that drop a Silver Coin","區域包含 {0} 個持有銀幣的怪物"
"Area has {0} seconds between monster waves","地圖裡每隔 {0} 秒有一波怪物"
"Area has {0} waves of monsters","地圖含有 {0} 波怪物"
"Area has {0}% chance to contain Gifts of the Red Queen per Mortal Fragment used","每個使用的凡人碎片，使區域有 {0}% 機率含有赤紅皇后之贈"
"Area has {0}% chance to contain Gifts of the Sacrificed per Sacrifice Fragment used","每個使用的奉獻碎片，使區域有 {0}% 機率含有奉獻之贈"
"Area has a {0} chance to contain Cadiro Perandus","該區域有 {0} 的機率出現【卡迪羅普蘭德斯】"
"Area has a {0}% chance to contain Cadiro Perandus","此區域有 {0}% 機率包含卡迪羅普蘭德斯"
"Area has patches of Shocked Ground which increase Damage taken by {0}","區域內有【感電地面】，使承受的傷害增加 {0}"
"Area has patches of Shocked Ground which increase Damage taken by {0}%","區域會有多塊感電地面，增加 {0}%使受到的傷害"
"Area is {0} larger","區域擴大 {0}"
"Area is {0}% larger","增加 {0}%地圖大小"
"Area is haunted by {0} additional Tormented Spirit","區域被 {0} 個額外罪魂糾纏"
"Area is haunted by {0} additional Tormented Spirits","區域被 {0} 個額外罪魂糾纏"
"Area is inhabited by {0} additional Invasion Bosses","地圖內含有 {0} 隻額外侵略聯盟的頭目"
"Area is inhabited by {0} additional Rogue Exile","地圖含有額外 {0} 個盜賊流亡者"
"Area is inhabited by {0} additional Rogue Exiles","地圖含有額外 {0} 個盜賊流亡者"
"Area is inhabited by {0} additional Warband","地圖含有額外 {0} 個軍團"
"Area is inhabited by {0} additional Warbands","地圖含有額外 {0} 個軍團"
"Area Skills have {0} chance to Knock Enemies Back on Hit","範圍技能擊中時，有 {0} 的機率擊退敵人"
"Area Skills have {0}% chance to Knock Enemies Back on Hit","範圍技能擊中敵人時有 {0}% 機率擊退敵人"
"Areas have {0}% chance to contain an additional pack of Rogue Exiles","區域有 {0}% 機率含有 1 群額外的盜賊流亡者"
"Areas have {0}% chance to contain an Expedition Encounter","區域有 {0}% 機率含有 1 個探險事件"
"Areas have {0}% chance to contain Ritual Altars","區域 {0}% 機率含有祭祀神壇"
"Armageddon Brand Damage Penetrates {0} of Branded Enemy's Fire Resistance","【末日烙印】的傷害會穿透帶有烙印敵人火焰抗性的 {0}"
"Armageddon Brand Damage Penetrates {0}% of Branded Enemy's Fire Resistance","末日烙印傷害穿透被烙印敵人的 {0}% 火焰抗性"
"Armageddon Brand deals {0} increased Damage","【末日烙印】的傷害增加 {0}"
"Armageddon Brand deals {0} reduced Damage","【末日烙印】的傷害減少 {0}"
"Armageddon Brand deals {0}% increased Damage","末日烙印增加 {0}% 傷害"
"Armageddon Brand deals {0}% reduced Damage","末日烙印減少 {0}% 傷害"
"Armageddon Brand has {0} increased Activation Frequency","【末日烙印】的啟動頻率增加 {0}"
"Armageddon Brand has {0} reduced Activation Frequency","【末日烙印】的啟動頻率減少 {0}"
"Armageddon Brand has {0}% increased Activation Frequency","末日烙印增加 {0}% 發動頻率"
"Armageddon Brand has {0}% reduced Activation Frequency","末日烙印減少 {0}% 發動頻率"
"Armour Items absorb {0}% more Corruption","護甲吸收 {0}% 更多汙染"
"Arrows Chain {0} times","箭矢連鎖 {0} 次"
"Arrows deal {0} increased Damage with Hits and Ailments to Targets they Pierce","箭矢對其穿透的目標所造成的擊中傷害和異常狀態傷害增加 {0}"
"Arrows deal {0} reduced Damage with Hits and Ailments to Targets they Pierce","箭矢對其穿透的目標所造成的擊中傷害和異常狀態傷害減少 {0}"
"Arrows deal {0}% increased Damage with Hits and Ailments to Targets they Pierce","箭矢對穿透的目標增加 {0}% 擊中和異常狀態傷害"
"Arrows deal {0}% reduced Damage with Hits and Ailments to Targets they Pierce","箭矢對穿透的目標減少 {0}% 擊中和異常狀態傷害"
"Arrows fall within a {0} increased Area of Effect","落下箭矢的效果區域擴大 {0}"
"Arrows fall within a {0} reduced Area of Effect","落下箭矢的效果區域縮小 {0}"
"Arrows fall within a {0}% increased Area of Effect","箭矢落下範圍增加 {0}% 範圍效果"
"Arrows fall within a {0}% reduced Area of Effect","箭矢落下範圍減少 {0}% 範圍效果"
"Arrows fire Beams every {0} second","每 {0} 秒箭矢發射光束"
"Arrows fire Beams every {0} seconds","每 {0} 秒箭矢發射光束"
"Arrows fired from the fourth firing points Chain {0} time","從第 4 個發射點發射的箭矢 {0} 次連鎖"
"Arrows fired from the fourth firing points Chain {0} times","從第 4 個發射點發射的箭矢 {0} 次連鎖"
