"Life Regen",生命回复
"Nearby Enemies have Lightning Exposure while you are affected by Herald of Thunder",你受闪电之捷影响时，对周围敌人施加闪电曝露
"Nearby Enemies have Lightning Resistance equal to yours",周围敌人的闪电抗性等同于你
"{0}% increased Effect of Non-Damaging Ailments on you","你受到的非伤害性异常状态的效果提高 {0}%"
"{0}% reduced Effect of Non-Damaging Ailments on you","你受到的非伤害性异常状态的效果降低 {0}%"
"{0}% increased Effect of non-Damaging Ailments on you during Effect of any Life or Mana Flask","任意生命和魔力药剂持续期间，你身上的非伤害型异常状态效果提高 {0}%"
"{0}% reduced Effect of non-Damaging Ailments on you during Effect of any Life or Mana Flask","任意生命和魔力药剂持续期间，你身上的非伤害型异常状态效果降低 {0}%"
"{0}% more Duration of Poisons on You","你身上的中毒持续时间总增 {0}%"
"{0}% less Duration of Poisons on You","你身上的中毒持续时间总降 {0}%"
"Penance Brand has {0}% increased Area of Effect","忏悔烙印的效果区域提高 {0}%"
"Penance Brand has {0}% reduced Area of Effect","忏悔烙印的效果区域降低 {0}%"
"Penance Brand has {0}% increased Cast Speed","忏悔烙印的施法速度提高 {0}%"
"Penance Brand has {0}% reduced Cast Speed","忏悔烙印的施法速度降低 {0}%"
"Penance Brand deals {0}% increased Damage","忏悔烙印的伤害提高 {0}%"
"Penance Brand deals {0}% reduced Damage","忏悔烙印的伤害降低 {0}%"
"Summoned Phantasms have {0}% chance to refresh their Duration when they Hit a Unique Enemy","召唤的幻灵击中传奇敌人时，有 {0}% 的几率刷新持续时间"
"Summoned Phantasms refresh their Duration when they Hit a Unique Enemy",召唤的幻灵击中传奇敌人时刷新持续时间
"{0}% increased Physical Damage per {1} Rage","每 {1} 点怒火使物理伤害提高 {0}%"
"{0}% reduced Physical Damage per {1} Rage","每 {1} 点怒火使物理伤害降低 {0}%"
"Placed Banners also grant {0}% increased Attack Damage to you and Allies","放置的旗帜也使你和友军的攻击伤害提高 {0}%"
"Placed Banners also grant {0}% reduced Attack Damage to you and Allies","放置的旗帜也使你和友军的攻击伤害降低 {0}%"
"Projectiles deal {0}% increased Damage with Hits to targets at the start","投射物在飞行开始时击中目标的伤害提高 {0}%，"
"of their movement, reducing to {0}% as they travel farther","并随飞行距离逐渐衰减为 {0}%"
"Projectiles deal {0}% reduced Damage with Hits to targets at the start","投射物在飞行开始时击中目标的伤害降低 {0}%，"
"of their movement, increasing to {0}% as they travel farther","并随飞行距离逐渐增强为 {0}%"
"Projectiles deal {0}% increased Damage with Hits and Ailments to targets they Chain from","连锁产生的投射物对目标造成的击中和异常状态伤害提高 {0}%"
"Projectiles deal {0}% reduced Damage with Hits and Ailments to targets they Chain from","连锁产生的投射物对目标造成的击中和异常状态伤害降低 {0}%"
"Projectiles that have Chained gain {0}% of Non-Chaos Damage as extra Chaos Damage","连锁的投射物将 {0}% 非混沌伤害作为其额外混沌伤害"
"You lose Rage {0}% faster","你的【怒火】消退加快 {0}%"
"You lose Rage {0}% slower","你的【怒火】消退减慢 {0}%"
"Summoned Raging Spirits have {0}% chance to refresh their Duration when they Hit a Unique Enemy","召唤的愤怒狂灵击中传奇敌人时有 {0}% 的几率刷新持续时间"
"Summoned Raging Spirits refresh their Duration when they Hit a Unique Enemy",召唤的愤怒狂灵击中传奇敌人时刷新持续时间
"Rallying Cry Exerts {0} additional Attack","激励战吼增助 {0} 次额外攻击"
"Rallying Cry Exerts {0} additional Attacks","激励战吼增助 {0} 次额外攻击"
"Brand Recall grants {0}% increased Brand Attachment range to recalled Brands","烙印召回召回烙印的烙印附着范围提高 {0}%"
"Brand Recall grants {0}% reduced Brand Attachment range to recalled Brands","烙印召回召回烙印的烙印附着范围降低 {0}%"
"Recover {0}% of Life on Killing a Chilled Enemy","击败冰缓的敌人回复 {0}% 生命"
"Recover {0}% of Life when you Kill an Enemy while you have Rage","你具有怒火时，击败敌人回复 {0}% 生命"
"Recover {0}% of Mana over {1} second when you use a Guard Skill","你使用防卫技能时，在 {1} 秒内回复 {0}% 魔力"
"Remove an Ailment when you Warcry",你使用战吼时，移除一个异常状态
"Remove up to {0} Curses after Channelling for {1} seconds","持续吟唱 {1}秒则最多移除 {0} 个诅咒"
"Attacks Exerted by Seismic Cry deal {0}% increased Damage ","被【震地战吼】增助的攻击其伤害提高 {0}%"
"Seismic Cry has a minimum of {0} Power","震地战吼最少有 {0} 点威力值"
"Summoned Sentinels have {0}% increased Cooldown Recovery Speed","召唤的纯净哨兵冷却回复速度加快 {0}%"
"Summoned Sentinels have {0}% reduced Cooldown Recovery Speed","召唤的纯净哨兵冷却回复速度减慢 {0}%"
"Skills deal {0}% increased Brand Damage with Hits and Ailments to their Branded Enemy","技能的击中和异常状态对其施加烙印的敌人造成的烙印伤害提高 {0}%"
"Skills deal {0}% reduced Brand Damage with Hits and Ailments to their Branded Enemy","技能的击中和异常状态对其施加烙印的敌人造成的烙印伤害降低 {0}%"
"{0}% increased Brand Critical Strike Chance","烙印暴击率提高 {0}%"
"{0}% reduced Brand Critical Strike Chance","烙印暴击率降低 {0}%"
"{0}% to Brand Critical Strike Multiplier","{0}% 烙印暴击伤害加成"
"{0}% increased Brand Damage","烙印伤害提高 {0}%"
"{0}% reduced Brand Damage","烙印伤害降低 {0}%"
"{0}% increased Brand Damage per {1} Devotion","每 {1} 点奉献使烙印伤害提高 {0}%"
"{0}% reduced Brand Damage per {1} Devotion","每 {1} 点奉献使烙印伤害降低 {0}%"
"Brand Recall has {0}% increased Cooldown Recovery Speed per Brand, up to a maximum of {1}%","每个烙印使【烙印召回】的冷却回复速度加快 {0}%，最多 {1}%"
"Brand Recall has {0}% reduced Cooldown Recovery Speed per Brand","每个烙印使【烙印召回】的冷却回复速度减慢 {0}%"
"Spell Skills always deal Critical Strikes on final Repeat",法术技能最后一次重复始终暴击
"Spell Skills have {0}% to Critical Strike Multiplier on final Repeat","法术技能最后一次重复时 {0}% 暴击伤害加成"
"Spell Skills cannot deal Critical Strikes except on final Repeat",法术技能只能在最后一次重复暴击
"Earthshatter creates {0} fissures","尖刺战吼{0} 道裂缝"
"{0} Life Regenerated per Second while in Blood Stance","血姿态下获得 {0} 每秒生命回复"
"{0}% increased Projectile Damage while in Blood Stance","血姿态下，投射物伤害提高 {0}%"
"{0}% reduced Projectile Damage while in Blood Stance","血姿态下，投射物伤害降低 {0}%"
"{0} to Evasion Rating while in Sand Stance","沙姿态下 {0} 闪避值"
"{0}% increased Cooldown Recovery Speed for Stance Skills","姿态技能的冷却回复速度加快 {0}%"
"{0}% reduced Cooldown Recovery Speed for Stance Skills","姿态技能的冷却回复速度减慢 {0}%"
"{0}% increased Area of Effect while in Sand Stance","沙姿态下，效果区域提高 {0}%"
"{0}% reduced Area of Effect while in Sand Stance","沙姿态下，效果区域降低 {0}%"
"{0}% increased Attack Speed if you’ve changed Stance Recently","若你近期内换过姿态，则攻击速度加快 {0}%"
"{0}% reduced Attack Speed if you’ve changed Stance Recently","若你近期内换过姿态，则攻击速度减慢 {0}%"
"Summoned Raging Spirits' Melee Strikes deal Fire-only Splash Damage to Surrounding Targets",召唤的愤怒狂灵其近战打击对周围目标造成火焰限定溅射伤害
"Take {0} Lightning Damage when Herald of Thunder Hits an Enemy","闪电之捷击中敌人时，受到 {0} 点闪电伤害"
"Enemies Taunted by your Warcries take {0}% increased Damage","被你的战吼嘲讽的敌人受到的伤害提高 {0}%"
"Enemies Taunted by your Warcries take {0}% reduced Damage","被你的战吼嘲讽的敌人受到的伤害降低 {0}%"
"Tectonic Slam has {0}% increased Area of Effect","破釜一击效果区域提高 {0}%"
"Tectonic Slam has {0}% reduced Area of Effect","破釜一击效果区域降低 {0}%"
"Tectonic Slam deals {0}% increased Damage","破釜一击的伤害提高 {0}%"
"Tectonic Slam deals {0}% reduced Damage","破釜一击的伤害降低 {0}%"
"Tectonic Slam has {0}% fissure branching chance","破釜一击 {0}% 裂缝分叉几率"
"Magma Orb deals {0}% more Damage","【熔岩之核】的总伤害额外提高 {0}%"
"Magma Orb deals {0}% less Damage","【熔岩之核】的总伤害额外降低 {0}%"
"Magma Orb deals {0}% more Damage per Chain","【熔岩之核】每次连锁的总伤害额外提高 {0}%"
"Magma Orb deals {0}% less Damage per Chain","【熔岩之核】每次连锁的总伤害额外降低 {0}%"
"Molten Strike fires {0}% more Projectiles","熔岩之击发射的投射物数量总增 {0}%"
"Molten Strike fires {0}% less Projectiles","熔岩之击发射的投射物数量总降 {0}%"
"Skills which Throw Traps have {0} Cooldown Use","陷阱投掷技能 {0} 冷却时间次数"
"Skills which Throw Traps have {0} Cooldown Uses","陷阱投掷技能 {0} 冷却时间次数"
"Warcries cannot Exert Travel Skills",战吼技能不能增助旅行技能
"Unattached Brands gain {0}% increased Brand Attachment Range per second, up to {1}%","未附着的烙印其烙印附着范围每秒提高 {0}%，最大 {1}%"
"Warcries have minimum of 10 Power","战吼至少有 10 点威力值"
"Warcries Knock Back and Interrupt Enemies in a smaller Area",战吼在更小的区域里击退并打断敌人
"Warcries have {0}% Chance to grant an Endurance, Frenzy or Power Charge per Power","每点威力值使战吼有 {0}% 的几率获得一个耐力球、狂怒球或暴击球"
"Warcries have infinite Power",战吼的威力值无限
"Warcries count total Power of Enemies in Range",战吼计入范围内敌人的总威力值
"Warcries count total Power of Enemies and Allies in Range",战吼计入范围内敌人和友军的总威力值
"Warcries count total Power of Enemies and Corpses in Range",战吼计入范围内敌人和灵柩的总威力值
"Warcries count total Power of Enemies, Aliies and Corpses in Range",战吼计入范围内敌人、友军和灵柩的总威力值
"{0}% increased total Power counted by Warcries","战吼计入的总威力值提高 {0}%"
"{0}% reduced total Power counted by Warcries","战吼计入的总威力值降低 {0}%"
"Gain {0}% increased Armour per {1} Power for {2} seconds when you Warcry, up to a maximum of {3}%","你使用战吼时，每 {1} 点威力值使护甲在 {2} 秒内提高 {0}%，上限为 {3}%"
"Gain {0}% reduced Armour per {1} Power for {2} seconds when you Warcry","你使用战吼时，每 {1} 点威力值使护甲在 {2} 秒内降低 {0}%"
"Enemies Cursed by you are Hindered with {0}% reduced Movement Speed if {1}% of Curse Duration expired","若诅咒持续时间耗减了 {1}%，则被你诅咒的敌人也被【缓速】，移动速度减慢 {0}%"
"Enemies Cursed by you have Malediction if {0}% of Curse Duration expired","若诅咒持续时间耗减了 {0}%，则被你诅咒的敌人受到恶语术影响"
"Your Curses have {0}% increased Effect if {1}% of Curse Duration expired","若持续时间耗减了 {1}%，你的诅咒效果提高 {0}%"
"Your Curses have {0}% reduced Effect if {1}% of Curse Duration expired","若持续时间耗减了 {1}%，你的诅咒效果降低 {0}%"
"Enemies Cursed by you take {0}% increased Damage if {1}% of Curse Duration expired","若诅咒持续时间耗减了 {1}%，则被你诅咒的敌人受到的伤害提高 {0}%"
"Enemies Cursed by you take {0}% reduced Damage if {1}% of Curse Duration expired","若诅咒持续时间耗减了 {1}%，则被你诅咒的敌人受到的伤害降低 {0}%"
"Wintertide Brand has {0}% increased Chill Effect","冬潮烙印的冰缓效果提高 {0}%"
"Wintertide Brand has {0}% reduced Chill Effect","冬潮烙印的冰缓效果降低 {0}%"
"Wintertide Brand deals {0}% increased Damage","冬潮烙印的伤害提高 {0}%"
"Wintertide Brand deals {0}% reduced Damage","冬潮烙印的伤害降低 {0}%"
"Wintertide Brand has {0} to maximum Stages","冬潮烙印 {0} 层数上限"
"Withered you Inflict expires {0}% faster","你施加的死亡凋零耗竭速度加快 {0}%"
"Withered you Inflict expires {0}% slower","你施加的死亡凋零耗竭速度减慢 {0}%"
"{0}% increased Effect of Withered","死亡凋零效果提高 {0}%"
"{0}% reduced Effect of Withered","死亡凋零效果降低 {0}%"
"{0}% chance to inflict Withered for two seconds on Hit if there are {1} or fewer Withered Debuffs on Enemy","若敌人身上最多有 {1} 个死亡凋零减益效果，则击中有 {0}% 的几率施加死亡凋零两秒"
"Travel Skills other than Dash are Disabled",禁用除冲刺外的位移技能
"instead grant: {0}% increased Mana Cost of Skills and {1}% increased Spell Damage","技能魔力消耗提高 {0}%，法术伤害提高 {1}%"
"Call to Arms",召集部队
"Eternal Youth",青春永驻
"Glancing Blows",斗转星移
"The Impaler",穿刺者
"The Agnostic",惘信者
"Sacred Bastion",神圣壁垒
"Supreme Ego",无上自我
"Wind Dancer",风舞者
"Supported Strike Skills cannot target additional Enemies",被辅助的打击技能无法以额外的敌人为目标
"{0}% chance to Trigger Supported Spells when you fire Projectiles from a Non-Triggered Wand Attack","你用非触发型法杖攻击发射的投射物有 {0}% 的几率触发被辅助的法术"
"Trigger Supported Spells when you fire Projectiles from a Non-Triggered Wand Attack",你用非触发型法杖攻击发射的投射物触发被辅助的法术
"Supported Skills have {0}% more Attached Duration","被辅助技能的附着持续时间总增 {0}%"
"Supported Skills have {0}% less Attached Duration","被辅助技能的附着持续时间总降 {0}%"
"Supported Skills have {0}% more Detached Duration","被辅助技能的解除持续时间总增 {0}%"
"Supported Skills have {0}% less Detached Duration","被辅助技能的解除持续时间总降 {0}%"
"Attacks with Supported Skill are Ancestrally Boosted, no more than once every {0} seconds","被辅助技能的攻击获得先祖加持，每 {0} 秒只能触发一次"
"Ancestral Boost does not apply to repeats of the Attack",先祖加持对重复的攻击无效
"Ancestrally Boosted Slams deal {0}% more Damage with Hits","先祖加持的猛击击中的伤害总增 {0}%"
"Ancestrally Boosted Slams deal {0}% less Damage with Hits","先祖加持的猛击击中的伤害总降 {0}%"
"Ancestrally Boosted Slams deal {0}% more Damage with Ailments","先祖加持的猛击异常状态的伤害总增 {0}%"
"Ancestrally Boosted Slams have {0}% increased Area of Effect","先祖加持的猛击效果区域提高 {0}%"
"Ancestrally Boosted Slams have {0}% reduced Area of Effect","先祖加持的猛击效果区域降低 {0}%"
"Supported Skills have {0} seconds to Cooldown","被辅助技能 {0} 秒冷却时间"
"Supported Skills have {0}% increased Chaining range","被辅助技能的连锁范围提高 {0}%"
"Supported Skills have {0}% reduced Chaining range","被辅助技能的连锁范围降低 {0}%"
"Impale Damage dealt to Enemies Impaled by Supported Skills Overwhelms {0}% Physical Damage Reduction","被辅助技能对已穿刺的敌人造成的穿刺伤害压制 {0}% 物理伤害减免"
"Attacks with Supported Skills count as Exerted",被辅助技能的攻击视为被增助
"Supported Skills have limited Projectile Range",被辅助技能的投射物范围受限
"Supported Skills have {0}% increased Activation frequency","被辅助技能的激活频率提高 {0}%"
"Supported Skills have {0}% reduced Activation frequency","被辅助技能的激活频率降低 {0}%"
"Supported Skills have {0}% more Activation frequency","被辅助技能的激活频率总增 {0}%"
"Supported Skills have {0}% less Activation frequency","被辅助技能的激活频率总降 {0}%"
"Supported Skills Deal {0}% more Damage to Branded Enemy","被辅助技能对带有烙印的敌人造成的伤害总增 {0}%"
"Supported Skills Deal {0}% less Damage to Branded Enemy","被辅助技能对带有烙印的敌人造成的伤害总降 {0}%"
"Supported Skills are Triggered by Arcanist Brand, from the Brand's location",被辅助技能被奥法烙印所在地点触发
"Supported Skills are used by Mirage Warriors Summoned by General's Cry",被辅助技能被将军之吼召唤的蜃影武士使用
"Supported Skills count as Triggered",被辅助技能视为被触发
"Supported Skills have {0}% increased Warcry Speed","被辅助技能的战吼速度提高 {0}%"
"Supported Skills have {0}% reduced Warcry Speed","被辅助技能的战吼速度降低 {0}%"
"{0}% increased Activation frequency","激活频率提高 {0}%"
"{0}% reduced Activation frequency","激活频率降低 {0}%"
"Can have an additional Brand Attached to an Enemy",可以对敌人附着一个额外烙印
"Can have {0} additional Brands Attached to an Enemy","可以对敌人附着 {0} 个额外烙印"
"Creates {0} additional Spikes if you've changed Stance Recently","若近期内换过姿态，则创造 {0} 个额外的尖刺"
"{0}% more Damage while in Blood Stance","血姿态下，伤害总增 {0}%"
"{0}% less Damage while in Blood Stance","血姿态下，伤害总降 {0}%"
"Storm Hits an Enemy every {0} Seconds","风暴每 {0} 秒击中一个敌人"
"Explosion deals base Chaos Damage equal to {0}% of the corpse's Maximum Life","爆炸造成基础混沌伤害，等于灵枢生命上限的 {0}%"
"{0}% chance to Trigger this Spell when you fire Projectiles from a Non-Triggered Wand Attack","你用非触发型法杖攻击发射的投射物有 {0}% 的几率触发该法术"
"Trigger this Spell when you fire Projectiles from a Non-Triggered Wand Attack",你用非触发型法杖攻击发射的投射物触发该法术
"{0}% chance to Trigger this Spell on Melee Hit while Cursed","被诅咒的情况下，近战击中有 {0}% 的几率触发该法术"
"Trigger this Spell on Melee Hit while Cursed",被诅咒的情况下，近战击中触发该法术
"Projectiles leave Shocked Ground",投射物留下感电地面
"Explosion deals Fire Damage equal to {0}% of the Monster's maximum Life","爆炸造成火焰伤害，数值等同于该怪物生命上限的 {0}%"
"Attacks are Ancestrally Boosted, no more than once every {0} seconds","攻击得到先祖加持，每 {0} 秒只会发生一次"
"Ancestrally Boosted Slams deal {0}% less Damage with Ailments","先祖加持的猛击异常状态的伤害总降 {0}%"
"{0}% more Area of Effect per Endurance Charge","每个耐力球使总效果区域总增 {0}%"
"{0}% less Area of Effect per Endurance Charge","每个耐力球使总效果区域总降 {0}%"
"Exerted Attacks deal {0}% increased Damage ","增助攻击伤害提高 {0}%"
"{0}% chance to Trigger this Skill when you Hit a Bleeding Enemy","击中流血的敌人时，有 {0}% 的几率触发该技能"
"Trigger this Skill when you Hit a Bleeding Enemy",击中流血的敌人时触发该技能
"Overcharged Brands Activate {0}% faster, {1}% every {2} seconds","超载的烙印激活速度加快 {0}%，每 {2} 秒 {1}%"
"Overcharged Brands expire {0}% faster, {1}% every {2} seconds","超载的烙印耗竭速度加快 {0}%，每 {2} 秒 {1}%"
"Spends {0}% of Brand's Mana Cost","耗用 {0}% 点烙印的魔力消耗"
"Creates a storm when you Kill a Shocked Enemy",你击败被感电的敌人时产生一个风暴
"Creates a storm when you Kill a Shocked Enemy or Shock an Enemy",你击败一个被感电的敌人或使敌人感电时产生一个风暴
"{0}% of Physical Damage Converted to other Damage Types matching the Brand Gem's Tags","根据烙印种类，将 {0}% 物理伤害转化为其它对应类型的伤害"
"Strike Skills used by Mirage Saviours cannot target additional Enemies",蜃影救世者使用的打击技能无法以额外的敌人为目标
"Grants {0} additional Endurance Charge","获得 {0} 个额外的耐力球"
"Grants {0} additional Endurance Charges","获得 {0} 个额外的耐力球"
"Enemies Taunted by this Warcry are Intimidated",该战吼嘲讽的敌人被威吓
"Projectiles gain Radius as they travel farther, up to {0} Radius","投射物范围随飞行距离扩大，最大范围 {0}"
"Grants {0}% more Physical Damage","使总物理伤害总增 {0}%"
"Grants {0}% less Physical Damage","使总物理伤害总降 {0}%"
"Debuff deals {0}% more Damage per Stage","每层减益效果的伤害总增 {0}%"
"Impale Damage dealt to Enemies Impaled by this Skill Overwhelms {0}% Physical Damage Reduction","该技能对已穿刺的敌人造成的穿刺伤害压制 {0}% 物理伤害减免"
"Attacks with this Skill count as Exerted",该技能的攻击视为被增助
"Explosions deal {0}% more Damage with Ailments per Energy after the first","第一层能量之后，每层能量使异常状态爆炸造成的伤害总增 {0}%"
"Explosions deal {0}% less Damage with Ailments per Energy after the first","第一层能量之后，每层能量使异常状态爆炸造成的伤害总降 {0}%"
"Explosions deal {0}% more Damage with Hits per Energy after the first","第一层能量之后，每层能量使击中的爆炸造成的伤害总增 {0}%"
"Explosions deal {0}% less Damage with Hits per Energy after the first","第一层能量之后，每层能量使击中的爆炸造成的伤害总降 {0}%"
"Maximum {0} Summoned Mirage Saviour","召唤蜃影救世者的上限为 {0} 个"
"Maximum {0} Summoned Mirage Saviours","召唤蜃影救世者的上限为 {0} 个"
"Projectiles Chain when impacting the ground",投射物撞击地面产生连锁效果
"Up to {0} to Energy spread radius, scaled by distance from Brand","按照烙印距离，最多 {0} 能量扩散范围"
"Projectile Range is Limited",投射物范围受限
"Regenerate {0} Life over {1} second","在 {1} 秒内再生 {0} 点生命"
"Runes deal {0}% more Damage with Hits and Ailments for each time they have been Improved","每次增强符纹都使其造成的伤害总增 {0}%"
"Runes deal {0}% less Damage with Hits and Ailments for each time they have been Improved","每次增强符纹都使其造成的伤害总降 {0}%"
"{0}% more Area of Effect while in Sand Stance","沙姿态下，总效果区域总增 {0}%"
"{0}% less Area of Effect while in Sand Stance","沙姿态下，总效果区域总降 {0}%"
"{0}% more Damage per Chain","每次连锁都使伤害总增 {0}%"
"{0}% less Damage per Chain","每次连锁都使伤害总降 {0}%"
"Skills used by Mirage Chieftains deal {0}% more Damage","蜃影酋长使用的技能伤害总增 {0}%"
"Skills used by Mirage Chieftains cannot Repeat",蜃影酋长使用的技能不能重复
"Skills used by Mirage Chieftains deal {0}% less Damage","蜃影酋长使用的技能伤害总降 {0}%"
"Skills used by Mirage Saviours deal {0}% less Damage","蜃影救世者使用的技能造成的伤害总降 {0}%"
"Shattering Spikes deal {0}% more damage","破碎尖刺的伤害总增 {0}%"
"Shattering Spikes deal {0}% less damage","破碎尖刺的伤害总降 {0}%"
"Maximum {0} Spike","最多 {0} 个尖刺"
"Maximum {0} Spikes","最多 {0} 个尖刺"
"Creates {0} fissure","产生 {0} 个裂缝"
"Creates {0} fissures","产生 {0} 个裂缝"
"{0}% increased Beam frequency per Static Energy","每层静电场可使光束发射频率提高 {0}%"
"Wave causes Shockwaves from up to {0} Enemies in each Area","冲击波产生的震波在每个区域中最多攻击 {0} 个敌人"
"Wave has {0}% increased delay between Areas","冲击波区域间隔延迟提高 {0}%"
"Wave has {0}% reduced delay between Areas","冲击波的区域间隔延迟降低 {0}%"
"Wave Damages {0} Areas","冲击波伤害 {0} 个区域"
"Wave cannot stop before Damaging {0} Areas","冲击波无法在伤害 {0} 个区域前停止"
"Wave gains {0} to radius with each Area in the Sequence","序列中每个区域都使冲击波 {0} 范围"
"{0}% fissure branching chance","裂缝分叉几率 {0}%"
"{0}% fissure branching chance per Endurance Charge","每个耐力球使裂缝分叉几率 {0}%"
"{0}% chance to Consume a Void Charge to Trigger this Skill when you fire Arrows with a Non-Triggered Skill","你使用非触发型技能发射箭矢时，有 {0}% 的几率消耗一枚虚空之矢来触发该技能"
"Consume a Void Charge to Trigger this Skill when you fire Arrows with a Non-Triggered Skill",你使用非触发型技能发射箭矢时，消耗一枚虚空之矢来触发该技能
"{0}% chance to Trigger this Spell when you Attack with a Non-Vaal Slam Skill near an Enemy","你在敌人附近使用非瓦尔猛击攻击时有 {0}%的几率触发该法术"
"Trigger this Spell when you Attack with a Non-Vaal Slam Skill near an Enemy",你在敌人附近使用非瓦尔猛击攻击时触发该法术
"This Skill is Triggered by Arcanist Brand, from the Brand's location",该技能被奥法烙印的烙印所在地点触发
"This Skill is Triggered by Attacks Exerted by Infernal Cry",该技能被炼狱战吼增助的攻击触发
"This Skill is used by Mirage Warriors Summoned by General's Cry",该技能被将军之吼召唤的蜃影武士使用
"This Skill counts as Triggered",该技能视为被触发
"Knocks back and Interrupts Enemies in a smaller Area",在更小的区域里击退并打断敌人
"Has infinite Power",威力值无限
"Counts total Power of Enemies in Range",计入范围内敌人的总威力值
"Counts total Power of Enemies and Allies in Range",计入范围内敌人和友军的总威力值
"Counts total Power of Enemies and Corpses in Range",计入范围内敌人和灵柩的总威力值
"Counts total Power of Enemies, Aliies and Corpses in Range",计入范围内敌人、友军和灵柩的总威力值
"Buff grants Added Attack Damage equal to {0}% of the Damage of your Main Hand Weapon per {1} Power, up to a maximum of {2}%","每 {1} 点威力值使增益效果附加攻击伤害，其等于你主手武器伤害的 {0}%，最大 {2}%"
"Buff grants {0}% reduced Enemy Stun Threshold per {1} Power, up to a maximum of {2}%","每 {1} 点威力值使增益效果的敌人眩晕门槛降低 {0}%，最多降低 {2}%"
"Buff causes your Hits to Overwhelm {0}% Physical Damage Reduction per {1} Power, up to {2}%","每 {1} 点威力值使增益效果让你的击中压制 {0}% 物理伤害减免，上限为 {2}%"
"Buff grants {0} to Armour per {1} Power, up to a maximum of {2}","每 {1} 点威力值使增益效果 {0} 护甲值，最多 {2}"
"Buff grants {0} Melee Strike Range per {1} Power, up to a maximum of {2}","每 {1} 点威力值使增益效果 {0} 近战打击范围，上限为 {2}"
"Covers Enemies in Ash, causing {0}% increased Fire Damage taken per {1} Power, up to {2}%","使敌人被灰烬缠身，每 {1} 点威力值使受到的火焰伤害提高 {0}%，最多 {2}%"
"Gain {0} Endurance Charge per {1} Power, minimum {2} Charge","每 {1} 点威力值获得 {0} 个耐力球，最少 {2} 个"
"Summons Mirage Warriors from {0} Corpses per {1} Power","每 {1} 点威力值从 {0} 个灵枢召唤蜃影武士"
"Maximum {0} Summoned Mirage Warriors","召唤蜃影武士上限为 {0} 个"
"Buff has {0}% more Effect on your Minions","你召唤生物身上的总增益效果总增 {0}%"
"Buff has {0}% less Effect on your Minions","你召唤生物身上的总增益效果总降 {0}%"
"Exerted Strikes target {0} additional Enemy","增助攻击以 {0} 个额外敌人为目标"
"Exerted Strikes target {0} additional Enemies","增助攻击以 {0} 个额外敌人为目标"
"Exerted Attacks deal {0}% more Damage per affected Ally, to a maximum of {1}%","每有一个受影响的友军，增助攻击的伤害总增 {0}%，上限为 {1}%"
"Exerted Attacks deal {0}% more Damage","增助攻击的伤害总增 {0}%"
"Exerted Attacks deal {0}% less Damage","增助攻击的伤害总降 {0}%"
"Exerted Attacks deal {0}% more Damage per previous Attack Exerted by this Warcry","该战吼之前每次攻击增助都使增助攻击的伤害总增 {0}%"
"Exerted Attacks deal {0}% less Damage per previous Attack Exerted by this Warcry","该战吼之前每次攻击增助都使增助攻击伤害总降 {0}%"
"Exerted Attacks have {0}% increased Area of Effect","增助攻击的效果区域提高 {0}%"
"Exerted Attacks have {0}% reduced Area of Effect","增助攻击的效果区域降低 {0}%"
"Exerted Attacks have {0}% increased Area of Effect per previous Attack Exerted by this Warcry","该战吼之前每次攻击增助都使增助攻击的效果区域提高 {0}%"
"Exerted Attacks have {0}% reduced Area of Effect per previous Attack Exerted by this Warcry","该战吼之前每次攻击增助都使增助攻击的效果区域降低 {0}%"
"Exerted Attacks Trigger Combust the first time they deal a Melee Hit",增助攻击在第一次近战击中时触发燃尽
"Exerted Attacks deal Double Damage",增助攻击造成双倍伤害
"Base Debuff Duration is {0} seconds","减益效果基础持续时间为 {0} 秒"
"Can have {0} Brand Attached to an Enemy","可以对敌人附着 {0} 个烙印"
"Can have {0} Brands Attached to an Enemy","可以对敌人附着 {0} 个烙印"
"Cursed enemies take {0}% decreased Physical Damage from Damage Over Time","被诅咒的敌人受到的物理持续伤害 {0}%"
"Maximum {0} Summoned Spectral Wolf","最多召唤 {0} 个幽狼"
"Maximum {0} Summoned Spectral Wolves","最多召唤 {0} 个幽狼"
"Impale Damage dealt to Enemies Impaled by Minions Overwhelms {0}% Physical Damage Reduction","召唤生物对已穿刺的敌人造成的穿刺伤害压制 {0}% 物理伤害减免"
"Modifiers to Claw Critical Strike Chance also apply to Minions",爪类暴击率词缀也套用于召唤生物
"Modifiers to Claw Critical Strike Multiplier also apply to Minions",爪类暴击伤害加成词缀也套用于召唤生物
"Buff grants {0} to {1} Added Attack Physical Damage","增益效果附加 {0} 至 {1} 点攻击物理伤害"
"Impale Damage dealt to Enemies Impaled by this Skill or Minions Overwhelms {0}% Physical Damage Reduction","该技能和召唤生物对已穿刺的敌人造成的穿刺伤害压制 {0}% 物理伤害减免"
"Minion's Melee Strike Skills deal Fire-only Splash Damage to Surrounding Targets",召唤生物的近战打击技能对周围敌人造成火焰限定溅射伤害
"Extra Chaos Damage",额外混沌伤害
"Buff grants {0} to {1} Added Attack Lightning Damage","增益效果附加 {0} 至 {1} 点攻击闪电伤害"
"Buff grants {0} to {1} Added Spell Lightning Damage","增益效果附加 {0} 至 {1} 点闪电法术伤害"
"Buff grants {0}% more Burning Damage","增益效果的总燃烧伤害总增 {0}%"
"Buff grants {0}% less Burning Damage","增益效果的总燃烧伤害总降 {0}%"
