" Beyond Bosses cannot spawn","이계 보스가 생성되지 않음"
"Remove {0}% of Mana on hit","명중 시 마나의 {0}% 제거"
"Removed life is Regenerated as Energy Shield over {0} seconds","제거된 생명력은 {0}초에 걸쳐 에너지 보호막으로 재생"
"Removes Bleeding when you use a Flask","플라스크 사용 시 출혈 제거"
"Removes Bleeding when you use a Warcry","함성 사용 시 출혈 제거"
"Removes Burning on use","사용 시 화상 제거"
"Removes Burning when you use a Flask","플라스크 사용 시 화상 제거"
"Removes Chill after Damaging","피해를 준 후 냉각 제거"
"Removes Corrupted Blood when you use a Flask","플라스크 사용 시 타락한 피 제거"
"Removes Curses on use","사용 시 저주 제거"
"Removes Elemental Ailments on Rampage","광란 시 원소 상태 이상 제거"
"Removes Elemental Ailments when you use a Flask","플라스크 사용 시 원소 상태 이상 제거"
"Removes Flask Charges","플라스크 충전 제거"
"Removes Frozen and Chilled on use","사용 시 동결 및 냉각 제거"
"Removes a Hex after Damaging","피해를 준 후 사술 1개 제거"
"Removes all Armour","모든 방어도 제거"
"Removes all Burning when used","사용 시 모든 화상 제거"
"Removes all Energy Shield","모든 에너지 보호막 제거"
"Removes all Evasion","모든 회피 제거"
"Removes all Mana","모든 마나 제거"
"Removes all but one Life on use","생명력을 1만 남기고 제거"
"Removes all mana","모든 마나를 제거"
"Removes {0} of your Life and Mana per Enemy Hit","명중한 적 하나당 플레이어의 생명력 및 마나 {0} 제거"
"Removes {0} of your Life per Enemy Hit","명중한 적 하나당 플레이어의 생명력 {0} 제거"
"Removes {0} of your Mana per Enemy Hit","명중한 적 하나당 플레이어의 마나 {0} 제거"
"Removes {0}% of Life Recovered from Life when used","사용 시 생명력에서 회복한 생명력의 {0}% 제거"
"Removes {0}% of Life Recovered from Mana when used","사용 시 마나에서 회복한 생명력의 {0}% 제거"
"Removes {0}% of Mana Recovered from Life when used","사용 시 생명력에서 회복한 마나의 {0}% 제거"
"Removes {0}% of your maximum Energy Shield on use","사용 시 에너지 보호막 최대치 {0}% 제거"
"Repeats once","1회 반복"
"Repeats {0} times","{0}회 반복"
"Rerolling Favours at Ritual Altars has no Cost the first time","의식 제단에서 헌정품을 무작위 변경할 때 첫 1회는 비용 없음"
"Rerolling Favours at Ritual Altars has no Cost the first {0} times","의식 제단에서 헌정품을 무작위 변경할 때 첫 {0}회는 비용 없음"
"Reserves {0}% of Life","생명력 {0}% 점유"
"Resilient to Cold Towers","냉기 탑에 내성"
"Resilient to Fire Towers","화염 탑에 내성"
"Resilient to Lightning Towers","번개 탑에 내성"
"Resilient to Physical Towers","물리 탑에 내성"
"Resolute Technique","확고한 기술"
"Resolve Aegis Recovers {0}% faster while not losing Resolve","투지를 상실하지 않는 동안 투지 비호가 {0}% 더 빠르게 회복"
"Resolve Aegis Recovers {0}% slower while not losing Resolve","투지를 상실하지 않는 동안 투지 비호가 {0}% 더 느리게 회복"
"Resolve Mitigation from Enemy Hits is based on {0}% of Armour","적에게 피격 시 투지 완화의 기준이 되는 방어도 {0}%"
"Restless Dead","쉬지 못하는 망자"
"Restores Ward on use","사용 시 수호 회복"
"Returning Projectiles Pierce all Targets","돌아오는 투사체가 모든 대상 관통"
"Returning Projectiles deal {0}% less Damage with Hits and Ailments","돌아오는 투사체의 명중 및 상태 이상 피해 {0}% 감폭"
"Returning Projectiles deal {0}% less Damage","돌아오는 투사체가 주는 피해 {0}% 감폭"
"Returning Projectiles deal {0}% more Damage with Hits and Ailments","돌아오는 투사체의 명중 및 상태 이상 피해 {0}% 증폭"
"Returning Projectiles deal {0}% more Damage","돌아오는 투사체가 주는 피해 {0}% 증폭"
"Returning Projectiles have {0}% increased Speed","돌아오는 투사체의 속도 {0}% 증가"
"Returning Projectiles have {0}% reduced Speed","돌아오는 투사체의 속도 {0}% 감소"
"Reused at the end of this Flask's effect","이 플라스크 효과가 끝나면 재사용"
"Reverses direction when Repeating","반복 시 반대 방향으로 전환"
"Reward Room Monsters deal {0}% increased Damage","보물 창고 몬스터가 주는 피해 {0}% 증가"
"Reward Room Monsters deal {0}% reduced Damage","보물 창고 몬스터가 주는 피해 {0}% 감소"
"Reward Room Monsters take {0}% increased Damage","보물 창고 몬스터가 받는 피해 {0}% 증가"
"Reward Room Monsters take {0}% reduced Damage","보물 창고 몬스터가 받는 피해 {0}% 감소"
"Reward Rooms have {0}% increased Monsters","보물 창고의 몬스터 {0}% 증가"
"Reward Rooms have {0}% reduced Monsters","보물 창고의 몬스터 {0}% 감소"
"Rewards are Doubled","보상 2배로 증가"
"Rewards are more likely to be less common types","보상이 보다 희귀한 유형일 확률이 높아짐"
"Rewards are {0}% less likely to be Sentinel Rewards","보상이 파수꾼 보상일 확률 {0}% 감폭"
"Rewards are {0}% more likely to be Sentinel Rewards","보상이 파수꾼 보상일 확률 {0}% 증폭"
"Rhoa Feather Lure","로아 깃털 루어"
"Right Ring Slot: Your Shocking Skitterbot's Aura applies Socketed Hex Curse instead","오른쪽 반지 슬롯: 감전 원격 기폭 장치의 오라 대신 장착된 사술 저주 부여"
"Right Ring slot: Cover Enemies in Frost for {0} seconds when you Freeze them","오른쪽 반지 슬롯: 적 동결 시 {0}초 동안 적을 서리로 덮음"
"Right ring slot: Minions take {0}% increased Damage","오른쪽 반지 슬롯: 소환수가 받는 피해 {0}% 증가"
"Right ring slot: Minions take {0}% reduced Damage","오른쪽 반지 슬롯: 소환수가 받는 피해 {0}% 감소"
"Right ring slot: Projectiles from Spells Chain {0} times","오른쪽 반지 슬롯: 주문의 투사체 연쇄 {0}회"
"Right ring slot: Projectiles from Spells cannot Fork","오른쪽 반지 슬롯: 주문의 투사체 갈라짐 불가"
"Right ring slot: Regenerate {0}% of Energy Shield per second","오른쪽 반지 슬롯: 1초마다 에너지 보호막의 {0}% 재생"
"Right ring slot: You and your Minions take {0}% increased Reflected Physical Damage","오른쪽 반지 슬롯: 자신 및 소환수가 반사로 받는 물리 피해 {0}% 증가"
"Right ring slot: You and your Minions take {0}% reduced Reflected Physical Damage","오른쪽 반지 슬롯: 자신 및 소환수가 반사로 받는 물리 피해 {0}% 감소"
"Right ring slot: You cannot Regenerate Mana","오른쪽 반지 슬롯: 마나 재생 불가"
"Right ring slot: {0} to Energy Shield","오른쪽 반지 슬롯: 에너지 보호막 {0}"
"Right ring slot: {0} to maximum Mana","오른쪽 반지 슬롯: 마나 최대치 {0}"
"Right ring slot: {0}% increased Duration of Ailments on You","오른쪽 반지 슬롯: 플레이어에게 적용되는 상태 이상 지속시간 {0}% 증가"
"Right ring slot: {0}% increased Effect of Curses on you","오른쪽 반지 슬롯: 플레이어에게 적용되는 저주 효과 {0}% 증가"
"Right ring slot: {0}% increased Skill Effect Duration","오른쪽 반지 슬롯: 스킬 효과 지속시간 {0}% 증가"
"Right ring slot: {0}% of Cold Damage from Hits taken as Lightning Damage","오른쪽 반지 슬롯: 피격 시 냉기 피해의 {0}%를 번개 피해로 받음"
"Right ring slot: {0}% of Fire Damage from Hits taken as Cold Damage","오른쪽 반지 슬롯: 피격 시 화염 피해의 {0}%를 냉기 피해로 받음"
"Right ring slot: {0}% of Lightning Damage from Hits taken as Fire Damage","오른쪽 반지 슬롯: 피격 시 번개 피해의 {0}%를 화염 피해로 받음"
"Right ring slot: {0}% reduced Duration of Ailments on You","오른쪽 반지 슬롯: 플레이어에게 적용되는 상태 이상 지속시간 {0}% 감소"
"Right ring slot: {0}% reduced Effect of Curses on you","오른쪽 반지 슬롯: 플레이어에게 적용되는 저주 효과 {0}% 감소"
"Right ring slot: {0}% reduced Skill Effect Duration","오른쪽 반지 슬롯: 스킬 효과 지속시간 {0}% 감소"
"Righteous Fire grants {0}% increased Spell Damage","정의의 화염이 주문 피해 {0}% 증가 부여"
"Righteous Fire grants {0}% reduced Spell Damage","정의의 화염이 주문 피해 {0}% 감소 부여"
"Righteous Fire","정의의 화염"
"Ring Shocks as if dealing {0}% less Damage","{0}% 감폭된 피해를 준 것처럼 고리가 감전 유발"
"Ring Shocks as if dealing {0}% more Damage","{0}% 증폭된 피해를 준 것처럼 고리가 감전 유발"
"Ring always Shocks","고리가 항상 감전 유발"
"Ring deals {0}% increased Damage","고리가 주는 피해 {0}% 증가"
"Ring deals {0}% less Damage","고리가 주는 피해 {0}% 감폭"
"Ring deals {0}% more Damage","고리가 주는 피해 {0}% 증폭"
"Ring deals {0}% reduced Damage","고리가 주는 피해 {0}% 감소"
"Ring has {0}% chance to Shock","고리가 {0}%의 확률로 감전 유발"
"Riposte has {0}% increased Cooldown Recovery Rate","반격 재사용 대기시간 회복 속도 {0}% 증가"
"Riposte has {0}% reduced Cooldown Recovery Rate","반격 재사용 대기시간 회복 속도 {0}% 감소"
"Ritual Altars in Area allow rerolling Favours an additional time","지역 내 의식 제단이 헌정품 무작위 변경 추가 1회 허용"
"Ritual Altars in Area allow rerolling Favours {0} additional times","지역 내 의식 제단이 헌정품 무작위 변경 추가 {0}회 허용"
"Rogue Equipment cannot be found","도둑 장비 발견 불가"
"Rogue Exiles can drop Fractured Items","탈주 유배자가 분열된 아이템을 떨어뜨릴 수 있음"
"Rogue Exiles deal {0}% increased Damage","탈주 유배자가 주는 피해 {0}% 증가"
"Rogue Exiles deal {0}% reduced Damage","탈주 유배자가 주는 피해 {0}% 감소"
"Rogue Exiles drop an additional Jewel","탈주 유배자가 주얼을 추가로 떨어뜨림"
"Rogue Exiles drop {0} additional Basic Currency Items","탈주 유배자가 기본 화폐 아이템 {0}개를 추가로 떨어뜨림"
"Rogue Exiles drop {0} additional Jewels","탈주 유배자가 주얼 {0}개를 추가로 떨어뜨림"
"Rogue Exiles each drop a Skill Gem with Quality","각 탈주 유배자가 퀄리티 스킬 젬을 떨어뜨림"
"Rogue Exiles each have a Rogue Exile ally","각 탈주 유배자에게 탈주 유배자 동료가 있음"
"Rogue Exiles have {0}% increased Attack, Cast and Movement Speed","탈주 유배자의 공격, 시전 및 이동 속도 {0}% 증가"
"Rogue Exiles have {0}% increased Maximum Life","탈주 유배자의 최대 생명력 {0}% 증가"
"Rogue Exiles have {0}% less Maximum Life","탈주 유배자의 최대 생명력 {0}% 감폭"
"Rogue Exiles have {0}% more Maximum Life","탈주 유배자의 최대 생명력 {0}% 증폭"
"Rogue Exiles have {0}% more Rarity of Items Dropped","탈주 유배자가 떨어뜨리는 아이템 희귀도 {0}% 증폭"
"Rogue Exiles have {0}% reduced Maximum Life","탈주 유배자의 최대 생명력 {0}% 감소"
"Rogue Exiles roam Wraeclast","레이클라스트에 탈주 유배자 등장"
"Rogue Perks are doubled","도둑 특전의 효과 2배"
"Rogue Perks have {0}% more effect","도둑 특전의 효과 {0}% 증폭"
"Rogues Exiles are found in Groups","탈주 유배자가 그룹으로 등장"
"Rolling Magma Chains an additional time","몰려오는 마그마가 1회 추가 연쇄"
"Rolling Magma Chains an additional {0} times","몰려오는 마그마가 {0}회 추가 연쇄"
"Rolling Magma deals {0}% less Damage per Chain","몰려오는 마그마가 연쇄 하나당 주는 피해 {0}% 감폭"
"Rolling Magma deals {0}% less Damage","몰려오는 마그마가 주는 피해 {0}% 감폭"
"Rolling Magma deals {0}% more Damage per Chain","몰려오는 마그마가 연쇄 하나당 주는 피해 {0}% 증폭"
"Rolling Magma deals {0}% more Damage","몰려오는 마그마가 주는 피해 {0}% 증폭"
"Rolling Magma fires an additional Projectile","몰려오는 마그마가 투사체 1개 추가 발사"
"Rolling Magma fires {0} additional Projectiles","몰려오는 마그마가 투사체 {0}개 추가 발사"
"Rolling Magma has {0}% increased Area of Effect per Chain","몰려오는 마그마 연쇄 하나당 효과 범위 {0}% 증가"
"Rolling Magma has {0}% reduced Area of Effect per Chain","몰려오는 마그마 연쇄 하나당 효과 범위 {0}% 감소"
"Rooms are unknown on the Sanctum Map","성역 지도에서 방을 확인할 수 없음"
"Rotates {0} time","{0}회 회전"
"Rotates {0} times if Dual Wielding","쌍수 사용 시 회전 횟수 {0}"
"Rotates {0} times","{0}회 회전"
"Rune Blast teleports you to the detonated Rune if you have not detonated Runes in the past {0} second","최근 {0}초 내에 룬 문자를 폭발시키지 않았다면 룬 폭발이 자신을 폭발한 룬 문자로 순간이동"
"Rune Blast teleports you to the detonated Rune if you have not detonated Runes in the past {0} seconds","최근 {0}초 내에 룬 문자를 폭발시키지 않았다면 룬 폭발이 자신을 폭발한 룬 문자로 순간이동"
"Runes can be improved once","룬 문자 1회 향상 가능"
"Runes can be improved {0} times","룬 문자 {0}회 향상 가능"
"Runes deal {0}% less Damage with Hits and Ailments for each time they have been Improved","룬 문자가 향상될 때마다 적중 및 상태 이상 피해 {0}% 감폭"
"Runes deal {0}% less Damage with Hits and Ailments per Improvement","향상 1회당 룬의 적중 및 상태 이상 피해 {0}% 감폭"
"Runes deal {0}% more Damage with Hits and Ailments for each time they have been Improved","룬 문자가 향상될 때마다 적중 및 상태 이상 피해 {0}% 증폭"
"Runes deal {0}% more Damage with Hits and Ailments per Improvement","향상 1회당 룬의 적중 및 상태 이상 피해 {0}% 증폭"
"Runes deal {0}% more Damage with Hits and Ailments per time Improvement","시간 향상 1회당 룬의 적중 및 상태 이상 피해 {0}% 증폭"
"Runes have {0}% increased Area of Effect for each time they've been Improved","룬 문자가 향상될 때마다 효과 범위 {0}% 증가"
"Runes have {0}% increased Area of Effect per Improvement","향상 1회당 룬의 효과 범위 {0}% 증가"
"Runes have {0}% less Area of Effect for each time they have been Improved","룬 문자가 향상될 때마다 효과 범위 {0}% 감폭"
"Runes have {0}% less Area of Effect per Improvement","향상 1회당 룬의 효과 범위 {0}% 감폭"
"Runes have {0}% more Area of Effect for each time they have been Improved","룬 문자가 향상될 때마다 효과 범위 {0}% 증폭"
"Runes have {0}% more Area of Effect per Improvement","향상 1회당 룬의 효과 범위 {0}% 증폭"
"Runes have {0}% reduced Area of Effect for each time they've been Improved","룬 문자가 향상될 때마다 효과 범위 {0}% 감소"
"Runes have {0}% reduced Area of Effect per Improvementd","향상 1회당 룬의 효과 범위 {0}% 감소"
"Runic Monsters apply Death Geas on Hit","룬 몬스터가 명중 시 죽음의 맹약 적용"
"Runic Monsters apply a random Hex on Hit","룬 몬스터가 명중 시 무작위 사술 1개 유발"
"Runic Monsters apply {0} random Hex on Hit","룬 몬스터가 명중 시 무작위 사술 {0}개 유발"
"Runic Monsters are Duplicated","룬 몬스터가 복제됨"
"Runic Monsters deal {0}% less Damage","룬 몬스터가 주는 피해 {0}% 감폭"
"Runic Monsters deal {0}% more Damage","룬 몬스터가 주는 피해 {0}% 증폭"
"Runic Monsters have {0}% less Life","룬 몬스터의 생명력 {0}% 감폭"
"Runic Monsters have {0}% more Life","룬 몬스터의 생명력 {0}% 증폭"
"Runic Monsters inflict Petrification for {0} seconds on Hit","룬 몬스터가 명중 시 {0}초 동안 석화 유발"
"Ruthless Blows deal {0}% more Damage with Ailments caused by Melee Hits","무자비한 맹타가 근접 명중으로 유발하는 상태 이상 피해 {0}% 증폭"
"Ruthless Blows deal {0}% more Damage with Bleeding caused by Melee Hits","무자비한 맹타가 근접 명중으로 유발하는 출혈 피해 {0}% 증폭"
"Ruthless Blows deal {0}% more Melee Damage","무자비한 맹타가 주는 근접 피해 {0}% 증폭"
"Ruthless Blows from this Attack or Minions deal {0}% more Damage with Ailments caused by Melee Hits","이 공격 또는 소환수의 무자비한 맹타가 근접 명중으로 유발하는 상태 이상 피해 {0}% 증폭"
"Ruthless Blows from this Attack or Minions deal {0}% more Damage with Bleeding caused by Melee Hits","이 공격 또는 소환수의 무자비한 맹타가 근접 명중으로 유발하는 출혈 피해 {0}% 증폭"
"Ruthless Blows from this Attack or Minions deal {0}% more Melee Damage","이 공격 또는 소환수의 무자비한 맹타가 주는 근접 피해 {0}% 증폭"
"Ruthless Blows from this Attack or Minions have a base Stun Duration of {0} seconds","이 공격 또는 소환수의 무자비한 맹타의 기본 기절 지속시간이 {0}초가 됨"
"Ruthless Blows have a base Stun Duration of {0} seconds","무자비한 맹타의 기본 기절 지속시간 {0}초"
"Ruthless Blows with Supported Skills deal {0}% more Damage with Bleeding caused by Melee Hits","보조 대상 스킬의 무자비한 맹타가 근접 명중으로 유발하는 출혈 피해 {0}% 증폭"
"Ruthless Blows with Supported Skills deal {0}% more Damage with","보조 대상 스킬의 무자비한 맹타가 근접 명중으로 유발하는"
"Ruthless Blows with Supported Skills deal {0}% more Melee Damage","보조 대상 스킬로 무자비한 맹타 사용 시 근접 피해 {0}% 증폭"
"Ruthless Blows with Supported Skills have a base Stun Duration of {0} seconds","보조 대상 스킬로 무자비한 맹타 사용 시 기본 기절 지속시간 {0}초"
"Ruthless Hits Intimidate Enemies for {0} seconds","무자비 명중 시 {0}초 동안 적 위협"
"Sacrifice {0}% of Life to gain that much Energy Shield when you Cast a Spell","주문 시전 시 생명력 {0}%를 희생하여 같은 값의 에너지 보호막 획득"
"Sacrifice {0}% of your Life when you Use or Trigger a Spell Skill","주문 스킬 사용 또는 발동 시 생명력의 {0}% 희생"
"Sacrifices {0}% of Rage to create a Ragestorm, if you have at least {1} Rage","최소 {1} 격노 보유 시 격노의 {0}%를 희생하여 격노 폭풍 생성"
"Sacrifices {0}% of Rage when creating a Ragestorm","격노 폭풍 생성 시 희생하는 격노 {0}%"
"Sacrifices {0}% of Skeleton's Life to deal that much Chaos Damage","해골 생명력의 {0}%를 희생하여 같은 수치의 카오스 피해를 줌"
"Sacrifices {0}% of your Life","생명력의 {0}% 희생"
"Sacrifices {0}% of your current Life when Cast to gain added Chaos Damage equal to {1}% of Sacrificed Life","시전 시 현재 생명력의 {0}%를 희생하여 희생한 생명력의 {1}%와 동일한 카오스 피해 추가"
"Sacrifices {0}% of your current Life when Cast","시전 시 현재 생명력의 {0}%를 희생"
"Sacrifices {0}% of your total Energy Shield and Life","자신의 총 에너지 보호막과 생명력의 {0}%를 희생"
"Sand Bladestorms grant {0}% increased Movement Speed to you","모래 칼날 폭풍 사용 시 플레이어의 이동 속도 {0}% 증가"
"Sand Bladestorms grant {0}% reduced Movement Speed to you","모래 칼날 폭풍 사용 시 플레이어의 이동 속도 {0}% 감소"
"Sand Bladestorms move with {0}% increased speed","모래 칼날 폭풍 이동 속도 {0}% 증가"
"Sand Bladestorms move with {0}% reduced speed","모래 칼날 폭풍 이동 속도 {0}% 감소"
"Sap Enemies when you Block their Damage","적이 주는 피해를 막아낼 시 적 활력 감소"
"Scarabs dropped by slain Enemies have {0}% chance to be Duplicated","처치된 적이 떨어뜨리는 갑충석이 {0}%의 확률로 복제됨"
"Scion: {0} to All Attributes","사이온: 모든 능력치 {0}"
"Scion: {0}% increased Damage","사이온: 피해 {0}% 증가"
"Scorch Enemies in Close Range when you Block","플레이어가 막아낼 시 근거리에 있는 적 그을림 유발"
"Scorch Enemies when you Block their Damage","적이 주는 피해를 막아낼 시 적 그을림"
"Scorching Ray Debuff applies {0}% Fire Resistance at max stages","작열 광선 디버프가 최대 단계에 도달 시 {0}%의 화염 저항 적용"
"Scorching Ray Debuff applies {0}% Fire Resistance per stage","작열 광선 단계 하나당 {0}%의 화염 저항 디버프 적용"
"Scorching Ray debuff spreads to nearby Enemies on death","사망 시 주변의 적에게 작열 광선 디버프 확산"
"Scourge Arrow creates an additional spore pod at Maximum Stages","재앙의 화살이 최대 단계 도달 시 포자 주머니 추가 생성"
"Scourge Arrow creates {0} Spore Pod","재앙의 화살이 생성하는 포자 주머니 {0}개"
"Scourge Arrow creates {0} Spore Pods","재앙의 화살이 생성하는 포자 주머니 {0}개"
"Scourge Arrow creates {0} additional spore pods at Maximum Stages","재앙의 화살이 최대 단계 도달 시 포자 주머니 {0}개 추가 생성"
"Scourge Arrow deals {0}% increased Damage","재앙의 화살로 주는 피해 {0}% 증가"
"Scourge Arrow deals {0}% reduced Damage","재앙의 화살로 주는 피해 {0}% 감소"
"Scourge Arrow has {0}% chance to Poison per Stage","재앙의 화살 단계 하나당 {0}%의 확률로 중독 유발"
"Searching Eye Jewel affecting you, up to a maximum of {0}%","투사체가 지형과 충돌 시 {0}%의 확률로 연쇄, 최대 {0}%"
"Second Repeat deals {0}% less Damage","두 번째 반복 시 주는 피해 {0}% 감폭"
"Second Repeat deals {0}% more Damage","두 번째 반복 시 주는 피해 {0}% 증폭"
"Second Repeat of Supported Skills deals {0}% less Damage","보조 대상 스킬 두 번째 반복 시 피해 {0}% 감폭"
"Second Repeat of Supported Skills deals {0}% more Damage","보조 대상 스킬 두 번째 반복 시 피해 {0}% 증폭"
"Second Stage deals {0}% less Damage","두 번째 단계가 주는 피해 {0}% 감폭"
"Second Stage deals {0}% more Damage","두 번째 단계가 주는 피해 {0}% 증폭"
"Second form has {0}% increased Critical Strike Chance","두 번째 형태의 치명타 확률 {0}% 증가"
"Second form has {0}% less Projectile Speed","두 번째 형태의 투사체 속도 {0}% 감폭"
"Second form has {0}% more Projectile Speed","두 번째 형태의 투사체 속도 {0}% 증폭"
"Second form has {0}% reduced Critical Strike Chance","두 번째 형태의 치명타 확률 {0}% 감소"
"Second form has {0}% to Critical Strike Multiplier","두 번째 형태의 치명타 피해 배율 {0}%"
"Secondary Buff Lasts {0} second","2차 버프 {0}초간 지속"
"Secondary Buff Lasts {0} seconds","2차 {0}초간 버프 지속"
"Secondary Debuff Deals {0} Base Fire Damage per second","2차 디버프가 1초마다 {0}의 기본 화염 피해를 줌"
"Secondary Debuff Deals {0} Fire Damage per second","2차 디버프가 1초마다 {0}의 화염 피해를 줌"
"Secondary Debuff Lasts {0} seconds","{0}초간 2차 디버프 지속"
"Secondary Debuff deals {0}% of the total remaining Expected Poison Damage of all Poisons on the dying Enemy per second as Chaos Damage","사망하는 적에게 잔존하는 모든 중독의 중독 피해 기대치 총합의 {0}%만큼을 1초마다 카오스 피해로 주는 2차 디버프 부여"
"Secondary Duration is {0} seconds","2차 지속시간 {0}초"
"Secondary radius is {0} metre","2차 반경 {0}미터"
"Secondary radius is {0} metres","2차 반경 {0}미터"
"Secondary radius is {0}","2차 반경 {0}"
"Secrets of Suffering","고통의 비밀"
"Seismic Cry has a minimum of {0} Power","지진 함성의 최소 위세 {0}"
"Seismic Trap deals {0}% increased Damage","지진 덫으로 주는 피해 {0}% 증가"
"Seismic Trap deals {0}% reduced Damage","지진 덫으로 주는 피해 {0}% 감소"
"Seismic Trap has {0}% increased Cooldown Recovery Rate","지진 덫의 재사용 대기시간 회복 속도 {0}% 증가"
"Seismic Trap has {0}% increased Skill Effect Duration","지진 덫의 스킬 효과 지속시간 {0}% 증가"
"Seismic Trap has {0}% reduced Cooldown Recovery Rate","지진 덫의 재사용 대기시간 회복 속도 {0}% 감소"
"Seismic Trap has {0}% reduced Skill Effect Duration","지진 덫의 스킬 효과 지속시간 {0}% 감소"
"Seismic Trap releases an additional Wave","지진 덫이 추가 파도 1회 방출"
"Seismic Trap releases {0} additional Waves","지진 덫이 추가 파도 {0}회 방출"
"Sends a beam to the Branded Enemy","낙인이 부착된 적에게 광선 발사"
"Sends beam to the Branded Enemy","낙인이 부착된 적에게 광선 발사"
"Sends beams to {0} Enemies","적 {0}명에게 광선 발사"
"Sends beams to {0} Enemies, including the Branded Enemy","낙인이 부착된 적 포함, 적 {0}명에게 광선 발사"
"Sends beams to {0} Enemy","적 {0}명에게 광선 발사"
"Sentinels do not consume Charge on use","파수꾼 사용 시 충전을 소모하지 않음"
"Sentinels have {0}% chance to not consume Charge on use","파수꾼 사용 시 {0}%의 확률로 충전을 소모하지 않음"
"Sentinels have {0}% increased Aggro Radius","파수꾼의 어그로 반경 {0}% 증가"
"Sentinels have {0}% increased Cast Speed","파수꾼의 시전 속도 {0}% 증가"
"Sentinels have {0}% increased Duration","파수꾼의 지속시간 {0}% 증가"
"Sentinels have {0}% increased Empowerment","파수꾼이 부여하는 강화 {0}% 증가"
"Sentinels have {0}% reduced Aggro Radius","파수꾼의 어그로 반경 {0}% 감소"
"Sentinels have {0}% reduced Cast Speed","파수꾼의 시전 속도 {0}% 감소"
"Sentinels have {0}% reduced Duration","파수꾼의 지속시간 {0}% 감소"
"Sentinels have {0}% reduced Empowerment","파수꾼이 부여하는 강화 {0}% 감소"
"Sentinels of Purity deal {0}% increased Damage","정화의 파수꾼이 주는 피해 {0}% 증가"
"Sentinels of Purity deal {0}% reduced Damage","정화의 파수꾼이 주는 피해 {0}% 감소"
"Shadow: {0}% increased Attack and Cast Speed","쉐도우: 공격 및 시전 속도 {0}% 증가"
"Shadow: {0}% to Critical Strike Chance","쉐도우: 치명타 확률 {0}%"
"Shard Projectiles Deal {0}% less Damage","파편 투사체가 주는 피해 {0}% 감폭"
"Shard Projectiles Deal {0}% more Damage","파편 투사체가 주는 피해 {0}% 증폭"
"Shard Projectiles Pierce all Targets","파편 투사체가 모든 대상 관통"
"Share Endurance Charges with nearby party members","주변의 파티원과 인내 충전 공유"
"Share Endurance, Frenzy and Power Charges with nearby party members","주변의 파티원과 인내, 격분 및 권능 충전 공유"
"Share Frenzy Charges with nearby party members","주변의 파티원과 격분 충전 공유"
"Share Power Charges with nearby party members","주변의 파티원과 권능 충전 공유"
"Shared Suffering","공유된 고통"
"Shattering Spikes deal {0}% less damage","강철 가시로 주는 피해 {0}% 감폭"
"Shattering Spikes deal {0}% more damage","강철 가시로 주는 피해 {0}% 증폭"
"Shattering Spikes have {0}% less Area of Effect","강철 가시의 효과 범위 {0}% 감폭"
"Shattering Spikes have {0}% more Area of Effect","강철 가시의 효과 범위 {0}% 증폭"
"Shattering Steel deals {0}% increased Damage","강철 파편으로 주는 피해 {0}% 증가"
"Shattering Steel deals {0}% reduced Damage","강철 파편으로 주는 피해 {0}% 감소"
"Shattering Steel fires an additional Projectile","강철 파편이 투사체 1개 추가 발사"
"Shattering Steel fires {0} additional Projectiles","강철 파편이 투사체 {0}개 추가 발사"
"Shattering Steel has {0}% chance to not consume Steel Shards","강철 파편이 {0}%의 확률로 강철 조각을 소모하지 않음"
"Shepherd of Souls","영혼의 목자"
"Shield Charge and Chain Hook have has {0}% reduced Attack Speed per {1} Rampage Kills","광란 처치 {1}회당 방패 돌진 및 사슬 갈고리의 공격 속도 {0}% 감소"
"Shield Charge and Chain Hook have {0}% increased Attack Speed per {1} Rampage Kills","광란 처치 {1}회당 방패 돌진 및 사슬 갈고리의 공격 속도 {0}% 증가"
"Shield Crush and Spectral Shield Throw do not gain Added Physical Damage based on Armour or Evasion on shield","방패 타쇄 및 환영 방패 투척이 방패의 방어도 또는 회피에 기반하여 추가 물리 피해를 획득하지 않음"
"Shield Crush and Spectral Shield Throw gains {0} to {1} Added Lightning Damage per {2} Energy Shield on Shield","방패 타쇄 및 환영 방패 투척이 방패의 에너지 보호막 {2}당 번개 피해 {0}~{1} 추가 획득"
"Shield Crush central wave has {0}% less Area of Effect","방패 타쇄의 중앙 파장의 효과 범위 {0}% 감폭"
"Shield Crush central wave has {0}% more Area of Effect","방패 타쇄의 중앙 파장의 효과 범위 {0}% 증폭"
"Shield Defences are also granted to nearby Allies","주변 동료들에게도 방패 방어도 적용"
"Shield Recharge has started Recently","공격 및 시전 속도 {0}% 감소"
"Shield per 1% Chaos Resistance they have","에너지 보호막 최대치로 전환"
"Shields break after {0} total Damage is prevented","총 {0} 피해 방어 후 방패 부서짐"
"Shock Attackers for {0} seconds on Block","막아낼 시 {0}초 동안 공격자에게 감전 유발"
"Shock Enemies as though dealing {0}% less Damage","{0}% 감폭된 피해를 준 것처럼 적에게 감전 유발"
"Shock Enemies as though dealing {0}% more Damage","{0}% 증폭된 피해를 준 것처럼 적에게 감전 유발"
"Shock Nova Ring Shocks as if dealing {0}% less Damage","{0}% 감폭된 피해를 준 것처럼 충격 폭발 고리가 감전 유발"
"Shock Nova Ring Shocks as if dealing {0}% more Damage","{0}% 증폭된 피해를 준 것처럼 충격 폭발 고리가 감전 유발"
